Name,Start Datetime,End Datetime,Time,Percent,Points Earned,Points Possible,ভার্নিয়ার স্কেল এবং প্রধান স্কেলের ক্ষুদ্রতম মানের পার্থক্যকে ___ বলে ।,রৈখিক স্কেলের ক্ষুদ্রতম ভাগের মান  এবং  বৃত্তাকার স্কেলের ভাগ সংখ্যার অনুপাতকে  ____  বলে। ,স্থির অবস্থান থেকে বিনা বাধায় পড়ন্ত বস্তুর নির্দিষ্ট সময়ে প্রাপ্ত বেগ ঐ সময়ের  ______ ।,কাজ করার হারকে  _____ বলে। ,কোনটি মৌলিক রাশি ? ,কোনটি মৌলিক একক ? ,ভার্নিয়ার স্কেলের 50 ঘর সমান প্রধান স্কেলের 49 ঘর।  প্রধান স্কেলের ক্ষুদ্রতম ঘর 1mm হলে ভার্নিয়ার ধ্রুবক কত ? ,স্ক্রু-গজের লঘিষ্ঠ ধ্রুবকের মান 0.05mm হলে ভার্নিয়ার স্কেলের ভাগ সংখ্যা কত ,দোলনায় দুলতে থাকা শিশুর গতি হল ........ ,কোনটি ভেক্টর রাশি ? ,কোনটি স্কেলার রাশি ? ,"একটি পাথরকে 9.8ms-1 বেগে উপরের দিকে নিক্ষেপ করা হলে, এটি কত উপরে উঠবে ? ","19.6m উচ্চতা হতে একটি বস্তুকে ছেড়ে দেওয়া হলে,  ভূমিতে স্পর্শ করার পূর্বে বেগ কত হবে ? ",সময়ের সাথে দূরত্বের পরিবর্তনের হারকে  ___  বলে। ,কোনটি নবায়নযোগ্য শক্তির উৎস ?  ,কোনটি অনবায়নযোগ্য শক্তির উৎস ? ,শক্তির মাত্রা কোনটি ? ,কর্মদক্ষতার একক কোনটি ? ,স্প্রিং কে সংকুচিত করলে   কোন ধরনের শক্তি সঞ্চিত হয় ? ,"একটি যন্ত্র 100J শক্তি গ্রহণ করে  60J কাজ করতে পারে,  যন্ত্রের কর্মদক্ষতা কত ? ",এক ইউনিট সমান কত জুল ? ,প্যারাস্যুট দিয়ে নিচে নামার সময় বাতাসের সাথে কোন ধরনের ঘর্ষণ হয় ? ,"ঘড়ির কাঁটার গতি,  কোন ধরনের গতি ? ","পৃথিবীর গতি,  কোন ধরনের গতি ? ",কোনটা কাজের উদাহরণ নয় ?
T01190001viru,2021-07-03 17:34:09+06:00,2021-07-03 17:53:17+06:00,0:17:45,96,24.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190003TREK,2021-07-03 17:39:50+06:00,2021-07-03 17:53:38+06:00,0:12:28,100,25.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190008fuad,2021-07-03 17:39:56+06:00,2021-07-03 17:49:44+06:00,0:08:25,32,8.00,25.00,1.00,0,1.00,1.00,0,0,0,0,1.00,0,0,0,0,0,1.00,0,1.00,0,0,0,1.00,0,0,0,1.00
T01190009ZooM,2021-07-03 17:32:08+06:00,2021-07-03 17:44:55+06:00,0:12:23,96,24.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190010TROY,2021-07-03 17:30:33+06:00,2021-07-03 17:54:18+06:00,0:22:55,100,25.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190012ridv,2021-07-03 17:32:23+06:00,2021-07-03 17:46:07+06:00,0:13:04,100,25.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190013ratu,2021-07-03 17:31:59+06:00,2021-07-03 17:44:25+06:00,0:11:46,96,24.00,25.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190018SOGO,2021-07-03 17:30:44+06:00,2021-07-03 17:48:45+06:00,0:16:59,96,24.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
T01190020MNHZ,2021-07-03 17:31:33+06:00,2021-07-03 17:50:49+06:00,0:18:32,92,23.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00
T01190023taha,2021-07-03 17:32:09+06:00,2021-07-03 17:53:50+06:00,0:21:08,92,23.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
T01190026MASM,2021-07-03 17:31:39+06:00,2021-07-03 17:32:27+06:00,0:00:19,28,7.00,25.00,1.00,0,1.00,0,1.00,0,0,0,0,0,0,0,1.00,0,1.00,1.00,0,0,0,0,0,1.00,0,0,0
T01190027MDAD,2021-07-03 17:39:04+06:00,2021-07-03 18:00:41+06:00,0:20:48,84,21.00,25.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,0,1.00,1.00,1.00,1.00
T01190028vabi,2021-07-03 17:30:31+06:00,2021-07-03 17:43:38+06:00,0:12:37,84,21.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,0,0,1.00
T01190029HLCD,2021-07-03 17:40:49+06:00,2021-07-03 18:03:34+06:00,0:17:11,92,23.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
T01190035MSRM,2021-07-03 17:39:07+06:00,2021-07-03 17:48:16+06:00,0:08:47,80,20.00,25.00,0,0,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00
T01190036MSMC,2021-07-03 17:33:15+06:00,2021-07-03 17:43:05+06:00,0:09:19,68,17.00,25.00,1.00,1.00,0,1.00,1.00,0,0,0,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,0,1.00
T01190039TTTT,2021-07-03 17:46:33+06:00,2021-07-03 17:51:40+06:00,0:04:26,40,10.00,25.00,1.00,1.00,0,1.00,0,0,0,0,1.00,0,0,0,0,0,1.00,1.00,0,0,1.00,0,0,1.00,0,1.00,1.00
T01190043BINA,2021-07-03 17:32:29+06:00,2021-07-03 18:01:13+06:00,0:26:10,88,22.00,25.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00
T01190045Kona,2021-07-03 17:42:49+06:00,2021-07-03 18:07:14+06:00,0:23:30,68,17.00,25.00,1.00,0,1.00,1.00,1.00,1.00,0,0,1.00,0,1.00,0,0,1.00,1.00,1.00,1.00,1.00,1.00,0,0,1.00,1.00,1.00,1.00
T01190049SAKI,2021-07-03 17:40:47+06:00,2021-07-03 17:49:36+06:00,0:07:13,96,24.00,25.00,1.00,1.00,1.00,1.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190050dcba,2021-07-03 17:32:14+06:00,2021-07-03 17:37:01+06:00,0:04:05,24,6.00,25.00,1.00,0,0,1.00,0,0,0,0,0,0,0,0,0,0,1.00,1.00,0,0,0,0,1.00,1.00,0,0,0
T01190057jnat,2021-07-03 17:30:36+06:00,2021-07-03 17:59:37+06:00,0:28:17,56,14.00,25.00,1.00,0,0,0,1.00,0,1.00,1.00,1.00,0,1.00,0,0,1.00,1.00,0,1.00,1.00,1.00,0,0,0,1.00,1.00,1.00
T01190062AAAA,2021-07-03 17:31:09+06:00,2021-07-03 17:44:45+06:00,0:12:53,52,13.00,25.00,1.00,0,0,1.00,1.00,0,1.00,0,1.00,0,0,0,0,1.00,1.00,1.00,1.00,0,0,0,0,1.00,1.00,1.00,1.00
T01190065hdhd,2021-07-03 17:44:55+06:00,2021-07-03 17:54:36+06:00,0:08:57,96,24.00,25.00,1.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T01190066HLCI,2021-07-03 17:32:13+06:00,2021-07-03 17:56:03+06:00,0:22:26,68,17.00,25.00,1.00,0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0,0,0,1.00,1.00,0,1.00,1.00,0,0,0,1.00,1.00,1.00,1.00
